iter,alpha_M1f,beta_M1f,LL_M1f,LL_M3_sim,LR_sim,best_init_idx,n_total_sim,ll_init_0,ll_init_1,ll_init_2,ll_init_3,ll_init_4,ll_init_anchor
0,0.0001000018217,0.0108000345,-725177.385101,-725177.388136,0.006069,0,122177,-725177.385101,-725178.703367,-725179.212001,-725178.578645,-725179.336914,-725177.388136
1,0,0.01,-728999.964912,-728999.964912,0.000000,-1,122986,-729000.023044,-729001.315364,-729002.026833,-729001.114007,-729002.184667,-728999.964912
2,0,0.01,-729649.423682,-729649.423682,-0.000000,-1,123056,-729649.441732,-729651.300441,-729652.194947,-729650.982014,-729652.395909,-729649.423682
3,0,0.01,-729299.970055,-729299.970055,-0.000000,-1,123078,-729299.991775,-729301.277894,-729301.970436,-729301.075712,-729302.119923,-729299.970055
4,0.0001006957218,0.01077842534,-728758.653090,-728758.696592,0.087003,0,122980,-728758.653090,-728759.738136,-728760.221326,-728759.595410,-728760.328678,-728758.696592
5,0,0.01,-729796.036690,-729796.036690,-0.000000,-1,123159,-729796.040925,-729797.608002,-729798.230769,-729797.426535,-729798.372895,-729796.036690
6,0,0.01,-730706.798242,-730706.798242,0.000000,-1,123297,-730706.879153,-730708.221111,-730709.111683,-730707.945558,-730709.309526,-730706.798242
7,0.0001360013174,0.02888433625,-726768.209127,-726768.340147,0.262040,0,122470,-726768.209127,-726768.362373,-726768.623715,-726768.309896,-726768.688041,-726768.340147
8,0.0001000495944,0.01037968338,-728948.075110,-728948.083497,0.016773,0,122973,-728948.075110,-728949.801589,-728950.406101,-728949.639225,-728950.548531,-728948.083496
9,0.0001009651903,0.0107537082,-727883.056090,-727883.114882,0.117584,0,122713,-727883.056090,-727884.654435,-727885.160412,-727884.508500,-727885.291476,-727883.114882
10,0.0001211165376,0.02049900633,-727922.650451,-727922.764336,0.227771,0,122746,-727922.650451,-727922.956958,-727923.246377,-727922.895953,-727923.318112,-727922.764336
11,0,0.01,-727765.021140,-727765.021140,0.000000,-1,122732,-727765.025267,-727766.383255,-727766.939711,-727766.227782,-727767.070172,-727765.021140
12,0.0001002798428,0.01037013727,-727228.557150,-727228.592107,0.069914,0,122556,-727228.557150,-727230.656754,-727231.284566,-727230.486652,-727231.436989,-727228.592107
13,9.99962863e-05,0.01037572509,-729859.703481,-729859.705389,0.003815,0,123173,-729859.703481,-729861.278201,-729861.911010,-729861.083828,-729862.053019,-729859.705389
14,0,0.01,-729450.371895,-729450.371895,0.000000,-1,123054,-729450.381431,-729451.663910,-729452.418975,-729451.422304,-729452.582779,-729450.371895
15,0,0.01,-728591.075333,-728591.075333,0.000000,-1,122853,-728591.106556,-728592.121619,-728592.886113,-728591.877022,-728593.039186,-728591.075333
16,0,0.01,-727909.687828,-727909.687828,-0.000000,-1,122770,-727909.741928,-727910.587045,-727911.264811,-727910.389697,-727911.424865,-727909.687828
17,0,0.01,-728468.381599,-728468.381599,-0.000000,-1,122868,-728468.430446,-728469.812397,-728470.847034,-728469.341666,-728471.066357,-728468.381599
18,0,0.01,-729913.405651,-729913.405651,-0.000000,-1,123120,-729913.462541,-729915.519597,-729916.344291,-729915.298805,-729916.536326,-729913.405651
19,0,0.01,-726047.083834,-726047.083834,0.000000,-1,122378,-726047.122235,-726048.899218,-726049.673863,-726048.659550,-726049.828423,-726047.083834
20,0,0.01,-727304.078456,-727304.078456,-0.000000,-1,122627,-727304.131634,-727306.249743,-727307.067738,-727306.033293,-727307.249272,-727304.078456
21,0.003605573949,0.05600575677,-727184.819964,-727185.623389,1.606850,3,122578,-727184.953204,-727184.929410,-727185.284233,-727184.819964,-727185.354788,-727185.623389
22,0,0.01,-726643.360425,-726643.360425,0.000000,-1,122473,-726643.388848,-726644.738995,-726645.339024,-726644.569819,-726645.474835,-726643.360425
23,0.002682241002,0.09237501763,-727515.333312,-727516.364798,2.062973,3,122683,-727516.374843,-727515.606145,-727516.425348,-727515.333312,-727516.569310,-727516.364798
24,0.0001000607581,0.01078096221,-726339.822609,-726339.828330,0.011441,0,122415,-726339.822609,-726340.938760,-726341.578318,-726340.751517,-726341.721693,-726339.828330
25,0,0.01,-724849.657604,-724849.657604,0.000000,-1,122164,-724849.711592,-724851.634233,-724852.440786,-724851.376119,-724852.631813,-724849.657604
26,0,0.01,-727135.213392,-727135.213392,0.000000,-1,122601,-727135.269079,-727137.433460,-727138.335715,-727137.141683,-727138.556049,-727135.213392
27,0.0001002620356,0.0103577514,-728400.145655,-728400.178476,0.065642,0,122915,-728400.145655,-728402.478701,-728403.129482,-728402.317885,-728403.288676,-728400.178476
