bin,mu_b_best,alpha,beta,LL_M1f,init
0,2.4841915085817524e-05,0.0,0.01,-727981.5090614876,S0
1,0.00011291779584462511,0.0,0.01,-727981.5090614876,S0
2,0.0001942186088527552,0.0,0.01,-727981.5090614876,S0
3,0.0008130081300813008,0.0,0.01,-727981.5090614876,S0
4,0.0027845528455284554,0.0,0.01,-727981.5090614876,S0
5,0.007637759710930443,0.0,0.01,-727981.5090614876,S0
6,0.009089882565492322,0.0,0.01,-727981.5090614876,S0
7,0.010250677506775068,0.0,0.01,-727981.5090614876,S0
8,0.010612014453477868,0.0,0.01,-727981.5090614876,S0
9,0.009381210478771454,0.0,0.01,-727981.5090614876,S0
10,0.005085817524841915,0.0,0.01,-727981.5090614876,S0
11,0.005458446251129178,0.0,0.01,-727981.5090614876,S0
12,0.0007949412827461608,0.0,0.01,-727981.5090614876,S0
13,0.0027619692863595302,0.0,0.01,-727981.5090614876,S0
14,0.005896567299006323,0.0,0.01,-727981.5090614876,S0
15,0.008647244805781391,0.0,0.01,-727981.5090614876,S0
16,0.01080397470641373,0.0,0.01,-727981.5090614876,S0
17,0.010752032520325203,0.0,0.01,-727981.5090614876,S0
18,0.008333333333333333,0.0,0.01,-727981.5090614876,S0
19,0.007547425474254742,0.0,0.01,-727981.5090614876,S0
20,0.00732836495031617,0.0,0.01,-727981.5090614876,S0
21,0.006174345076784101,0.0,0.01,-727981.5090614876,S0
22,0.004216350496838302,0.0,0.01,-727981.5090614876,S0
23,0.006239837398373984,0.0,0.01,-727981.5090614876,S0
24,0.0003048780487804878,0.0,0.01,-727981.5090614876,S0
25,0.00044715447154471545,0.0,0.01,-727981.5090614876,S0
26,0.0007926829268292683,0.0,0.01,-727981.5090614876,S0
27,0.0017095754290876242,0.0,0.01,-727981.5090614876,S0
28,0.0038346883468834687,0.0,0.01,-727981.5090614876,S0
29,0.007375790424570912,0.0,0.01,-727981.5090614876,S0
30,0.009074074074074075,0.0,0.01,-727981.5090614876,S0
31,0.010047425474254742,0.0,0.01,-727981.5090614876,S0
32,0.009751580849141826,0.0,0.01,-727981.5090614876,S0
33,0.00857497741644083,0.0,0.01,-727981.5090614876,S0
34,0.005600722673893405,0.0,0.01,-727981.5090614876,S0
35,0.006034327009936766,0.0,0.01,-727981.5090614876,S0
36,0.0008830171635049684,0.0,0.01,-727981.5090614876,S0
37,0.0032249322493224934,0.0,0.01,-727981.5090614876,S0
38,0.006217253839205059,0.0,0.01,-727981.5090614876,S0
39,0.00856368563685637,0.0,0.01,-727981.5090614876,S0
40,0.00916214995483288,0.0,0.01,-727981.5090614876,S0
41,0.008324299909665763,0.0,0.01,-727981.5090614876,S0
42,0.006725383920505872,0.0,0.01,-727981.5090614876,S0
43,0.006165311653116531,0.0,0.01,-727981.5090614876,S0
44,0.005309394760614273,0.0,0.01,-727981.5090614876,S0
45,0.0034101174345076784,0.0,0.01,-727981.5090614876,S0
46,0.003954381210478771,0.0,0.01,-727981.5090614876,S0
47,0.01077687443541102,0.0,0.01,-727981.5090614876,S0
