team,n_real,n_evt,mu_M1,alpha_M1,beta_M1,LogLik_M1,AIC_M1,BIC_M1,mu_M0,LogLik_M0,AIC_M0,BIC_M0,Delta_LL_M1_minus_M0,alpha_above_threshold
OKC,246,4472,0.006307601957492777,0.0007679242039175484,0.007492091080506958,-27124.03061036523,54254.06122073046,54273.277993774966,0.006312104787714544,-27123.95941338502,54249.91882677004,54256.324417784876,-0.0711969802105159,True
HOU,246,4206,0.0059335986854331555,0.0005531292800999647,0.00712877785846358,-25768.5713687504,51543.1427375008,51562.17553956959,0.005936653116531165,-25768.520620275576,51539.04124055115,51545.38550790741,-0.050748474823194556,True
PHX,246,4332,0.0061139185401649174,0.00010200090878574334,0.006893540178031787,-26412.61846091617,52831.23692183234,52850.3582756567,0.00611449864498645,-26412.60471407846,52827.20942815692,52833.58321276504,-0.013746837707003579,True
DEN,246,3752,0.005295383906787103,9.08485861143753e-05,0.01039381385223174,-23415.61487665013,46837.22975330026,46855.91988623064,0.005295844625112918,-23415.60466160877,46833.20932321754,46839.439367527666,-0.010215041358605959,False
SAC,246,4136,0.005837789857969624,1.1167107041983963e-05,0.005496110020596026,-25409.074101401267,50824.148202802535,50843.1306560511,0.005837850045167119,-25409.072177727234,50820.14435545447,50826.471839870654,-0.0019236740336054936,False
DET,246,4210,0.005942243887474353,9.926212642247953e-06,0.0064458054931835216,-25789.026952267723,51584.053904535445,51603.08955831548,0.0059422990063233965,-25789.025157844753,51580.05031568951,51586.39553361618,-0.0017944229693966918,False
BKN,246,4225,0.005963423916351442,8.535920581214188e-06,0.006169258263200143,-25865.884917078554,51737.76983415711,51756.816157776484,0.005963471093044264,-25865.883355170314,51733.76671034063,51740.11548488042,-0.0015619082405464724,False
MIL,246,4468,0.006306429479876232,5.041291045553677e-06,0.0055362091867430146,-27103.69751956951,54213.39503913902,54232.60912761959,0.006306458897922313,-27103.696479565737,54209.39295913147,54215.797655291666,-0.0010400037717772648,False
SAS,246,4536,0.006402419405507652,3.2505725430051668e-06,0.005936482916146854,-27447.68265507076,54901.36531014152,54920.62471267774,0.0064024390243902435,-27447.681931938023,54897.363863876046,54903.78366472145,-0.000723132736311527,False
NYK,246,3484,0.00491755919073376,2.346028276713997e-06,0.00737369265924285,-22001.254045069512,44008.508090139025,44026.975899152945,0.004917570009033424,-22001.253646477424,44004.50729295485,44010.66322929282,-0.00039859208845882677,False
PHI,246,3914,0.005524492531982577,2.0615214605946197e-06,0.0061632031173446305,-24261.17191919122,48528.34383838244,48547.16078382631,0.005524503161698283,-24261.171515770187,48524.343031540375,48530.61534668833,-0.0004034210323879961,False
GSW,246,4614,0.006512524210653,1.6006664259438141e-06,0.007059061112809418,-27840.99944800131,55687.99889600262,55707.30944731882,0.006512533875338754,-27840.999056896417,55683.99811379283,55690.434964231565,-0.00039110489160520956,False
IND,246,4238,0.005981811248891204,1.5942375188000824e-06,0.006334007887839994,-25932.451082826537,51870.902165653075,51889.95770586956,0.005981820234869015,-25932.45070905216,51866.90141810432,51873.253264843144,-0.00037377437911345623,False
DAL,246,4394,0.0062020007879770595,1.5905386710034303e-06,0.006232581911607454,-26728.18325574328,53462.36651148656,53481.53049724539,0.006202009936766034,-26728.18287578161,53458.36575156322,53464.75374681617,-0.00037996166793163866,False
CLE,246,4280,0.006041093314150493,1.5731304345253104e-06,0.006335213755061531,-26147.24291832273,52300.48583664546,52319.570961511185,0.006041102077687444,-26147.24255168227,52296.48510336454,52302.846811653115,-0.0003666404591058381,False
ATL,246,3951,0.005576719479011439,1.5387146108352793e-06,0.00895360784080711,-24453.344313763137,48912.68862752627,48931.533799497505,0.005576727642276423,-24453.343971789956,48908.68794357991,48914.96966757032,-0.0003419731801841408,False
